|m|,ΔJ,P′,J′,C′,N′,←P″,J″,C″,N″,Band,Wavenumber,Broadening coefficients,,,Shifting coefficients,,,Exponents,,
,,,,,,,,,,,,$ γ N 2 $,$ γ O 2 $,γ_{air},$ δ N 2 $,$ δ O 2 $,δ_{air},$ n N 2 $,$ n O 2 $,n_{air}
2,P,4,1,E,21,0,2,E,1,32,5798.6268,673(2),623(2),663(2),−148(2),−134(2),−145(2),0.85,0.89,0.86
2,P,4,1,F _{1},36,0,2,F _{2},1,35,5801.2120,665(2),619(2),655(2),−123(2),−114(2),−121(2),0.79,0.91,0.82
2,Q,4,2,F _{1},25,0,2,F _{2},1,47,5586.6909,661(2),624(2),653(2),−104(2),−102(2),−104(2),0.84,0.77,0.82
2,Q,4,2,F _{1},50,0,2,F _{2},1,36,5812.2156,675(1),630(1),666(1),−117(1),−115(1),−117(1),0.84,0.85,0.84
2,Q,4,2,E,37,0,2,E,1,36,5813.8028,658(1),612(1),648(1),−117(1),−117(1),−117(1),0.86,0.85,0.86
2,Q,4,2,E,38,0,2,E,1,32,5819.2032,665(2),625(2),657(2),−108(2),−108(2),−108(2),1.02,0.97,1.01
2,Q,4,2,F _{1},53,0,2,F _{2},1,35,5825.6920,690(2),647(1),681(1),−110(2),−105(1),−109(1),0.90,0.89,0.90
2,R,4,2,F _{2},28,0,1,F _{1},1,47,5606.5361,665(1),625(1),657(1),−96(1),−91(1),−95(1),0.86,0.81,0.84
2,R,4,2,F _{2},56,0,1,F _{1},1,36,5834.2420,656(1),614(1),647(1),−104(1),−102(1),−104(1),0.83,0.84,0.83
2,R,4,2,F _{2},81,0,1,F _{1},1,46,6026.2271,675(0),624(0),664(0),−107(0),−101(0),−106(0),0.81,0.87,0.82
2,R,4,2,F _{2},83,0,1,F _{1},1,18,6074.7362,672(2),618(1),661(1),−99(1),−95(1),−98(1),0.82,0.90,0.83
2,R,4,2,F _{2},87,0,1,F _{1},1,19,6087.1831,661(2),617(2),652(2),−71(2),−75(2),−72(2),0.84,0.84,0.83
4,P,4,3,F _{1},86,0,4,F _{2},1,29,5802.5018,673(2),631(1),664(1),−93(2),−96(1),−94(1),0.90,0.90,0.91
4,P,4,3,F _{2},82,0,4,F _{1},1,36,5802.7510,672(2),631(2),663(2),−121(2),−110(2),−119(2),0.96,0.95,0.96
4,Q,4,4,F _{1},93,0,4,F _{2},1,31,5800.8353,689(1),644(1),680(1),−97(1),−93(1),−96(1),0.85,0.87,0.85
4,Q,4,4,E,65,0,4,E,1,31,5802.6169,645(1),608(1),637(1),−−120(1),−112(1),−118(1),0.86,0.87,0.86
4,Q,4,4,F _{2},98,0,4,F _{1},1,36,5804.3090,701(1),657(1),692(1),−122(1),−118(1),−121(1),0.92,0.90,0.91
4,Q,4,4,A _{2},30,0,4,A _{1},1,36,5804.9684,686(1),642(1),677(1),−109(0),−106(0),−108(0),0.87,0.86,0.86
4,Q,4,4,A _{2},31,0,4,A _{1},1,32,5811.4693,737(1),685(1),726(1),−136(1),−124(1),−133(1),0.93,0.91,0.92
4,R,4,4,A _{1},27,0,3,A _{2},1,50,5696.2059,677(1),632(1),668(1),−55(1),−59(1),−56(1),0.89,0.89,0.89
4,R,4,4,F _{2},97,0,3,F _{1},1,36,5843.9818,680(2),634(1),670(1),−93(2),−92(1),−93(1),0.90,0.91,0.91
4,R,4,4,F _{2},103,0,3,F _{1},1,32,5863.5517,693(1),646(1),683(1),−95(1),−94(1),−−95(1),0.87,0.88,0.87
4,R,4,4,A _{1},40,0,3,A _{2},1,6,5889.0168,638(1),596(1),629(1),−102(1),−99(1),−101(1),0.85,0.85,0.85
4,R,4,4,A _{1},55,0,3,A _{2},1,19,6110.0359,621(1),579(1),612(1),−91(1),−88(1),−90(1),0.82,0.86,0.83
7,P,4,6,F _{2},148,0,7,F _{1},1,35,5739.6905,629(1),607(1),624(1),−126(1),−120(1),−125(1),0.82,0.81,0.82
7,P,4,6,A _{1},52,0,7,A _{2},1,36,5746.9150,641(1),614(1),635(1),−136(1),−128(1),−134(1),0.84,0.82,0.83
7,P,4,6,F _{1},144,0,7,F _{2},2,36,5748.8729,665(2),628(2),657(2),−127(2),−122(2),−126(2),0.84,0.87,0.85
7,P,4,6,A _{1},56,0,7,A _{2},1,6,5778.8842,629(1),601(1),623(1),−109(1),−107(1),−109(1),0.84,0.82,0.83
7,Q,4,7,A _{1},29,0,7,A _{2},1,47,5579.3530,621(3),597(2),616(2),−92(2),−78(2),−89(2),0.80,0.83,0.80
