Line,ν _{0},σ,Δ
P25,"194,565,910.9",1.0,0.7
P23,"194,742,535.7",1.0,−1.1
P21,"194,916,199.5",0.4,−0.2
P20,"195,001,916.0",0.9,0.0
P19,"195,086,887.2",0.4,0.2
P18,"195,171,111.6",0.8,0.4
P17,"195,254,586.8",0.4,−0.3
P16,"195,337,314.4",0.7,1.2
P15,"195,419,287.8",0.3,−0.4
P14,"195,500,510.2",0.2,−0.6
P13,"195,580,979.3",0.2,−0.1
P12,"195,660,692.8",0.2,0.0
P11,"195,739,649.4",0.2,−0.2
P10,"195,817,848.6",0.2,0.2
P8,"195,971,967.1",0.2,0.0
P6,"196,123,038.7",0.2,0.2
P5,"196,197,428.3",0.2,−0.1
P3,"196,343,909.8",0.2,−0.2
P2,"196,415,998.9",0.3,−0.5
R2,"196,764,885.5",0.3,1.0
R3,"196,832,341.0",0.2,0.0
R5,"196,964,924.8",0.2,0.1
R6,"197,030,049.2",0.3,−0.3
R7,"197,094,395.1",0.2,0.1
R8,"197,157,959.9",0.3,−0.2
R9,"197,220,744.4",0.4,0.6
R11,"197,343,962.4",0.2,−0.1
R13,"197,464,043.2",0.2,0.0
R14,"197,522,904.5",0.3,0.0
R15,"197,580,978.4",0.2,0.0
R17,"197,694,760.3",0.2,0.0
R18,"197,750,466.9",0.5,0.3
R19,"197,805,382.0",0.2,0.1
R20,"197,859,505.0",0.5,−0.5
R21,"197,912,836.6",0.3,0.3
R23,"198,017,116.4",0.4,−0.6
R25,"198,118,216.6",0.4,−0.8
,,,
Mean,,,−0.02
Standard deviation,,,0.45
