"ν _{1} ν _{2} ν _{3} ν _{4}, sym",Line,ν _{0},σ,Δ,σ _{ Δ },ΔGOSAT,ΔHITRAN
0111 F1,R 4 A1(1),"176,062,937.9",1.0,,,−16.6,−13.3
0111 F1,R 4 F1(1),"176,072,440.3",2.3,,,−5.4,−8.3
0020 F2,P 11 F1(3),"176,272,071.4",3.3,,,−1.6,−9.0
0111 F1,R 5 F2(1),"176,357,355.0",1.7,,,−13.2,−28.4
0020 F2,P 10 F1(1),"176,619,062.7",2.5,,,6.7,−18.4
0020 F2,P 10 A1(1),"176,621,432.1",2.4,,,−3.1,−11.4
–,–,"176,622,736.1",4.5,,,−1.0,−14.5
0111 F1,R 6 A2(1),"176,631,593.3",1.2,,,−21.3,−25.1
0020 F2,P 9 E(1),"176,972,234.3",7.8,,,−0.3,−23.4
0020 F2,P 9 F1(2),"176,972,868.7",1.3,,,−2.6,−15.5
0020 F2,P 9 A1(1),"176,976,048.6",0.5,,,−25.7,−16.4
0020 F2,P 9 F1(3),"176,977,581.0",1.2,,,−30.0,−27.9
0020 F2,P 9 F2(2),"176,978,398.4",1.5,,,34.6,−44.0
0020 F2,P 9 A2(1),"176,979,023.8",0.8,,,18.1,−27.1
0111 F2,R 7 A2(1),"177,181,082.6",1.2,,,−10.3,−7.5
0020 F2,P 8 F2 (1),"177,324,768.2",0.4,,,−7.9,−15.4
0020 F2,P 8 F1(2),"177,327,232.4",0.8,,,−26.0,−24.5
0020 F2,P 7 A2(1),"177,674,247.9",0.5,,,−11.3,−15.8
0020 F2,P 7 F2(2),"177,675,733.5",0.4,,,−3.6,−14.1
0020 F2,P 7 E(1),"177,676,427.6",0.5,,,13.5,−15.5
0020 F2,P 7 F1(2),"177,677,334.6",0.4,,,5.5,−16.9
0020 F2,P 6 F1(1),"178,019,580.9",0.2,,,−17.9,−19.7
0020 F2,P 6 F2(2),"178,021,769.0",0.4,,,−31.2,−17.1
0020 F2,P 5 F1(1),"178,362,332.6",0.3,,,−7.0,−17.7
0020 F2,P 5 F2(1),"178,363,082.6",0.3,,,−15.0,−17.1
0020 F2,P 4 F2(1),"178,704,288.7",0.3,,,3.9,−13.8
0020 F2,P 3 A2(1),"179,040,070.6",0.5,,,5.2,−23.5
0020 F2,P 1 F1(1),"179,699,924.9",0.6,,,−23.5,−24.4
0020 F2,Q 11 A2(1),"179,802,096.5",0.8,,,−23.6,−10.1
0020 F2,Q 10 A1(1),"179,823,905.0",0.6,,,−17.5,−17.5
0020 F2,Q 4 F2(1),"179,990,485.4",0.3,1.5,0.7,−14.3,−19.7
0020 F2,Q 3 A2(1),"180,004,153.5",0.3,0.6,0.7,−9.6,−22.2
0020 F2,Q 1 F1(1),"180,021,253.5",0.5,0.4,0.8,−5.6,−16.3
0020 F2,R 0 A1(1),"180,345,064.6",0.2,−0.5,0.4,−10.8,−14.1
0020 F2,R 1 F1(1),"180,661,736.3",0.3,,,−11.1,−16.2
0020 F2,R 4 F2(1),"181,588,086.8",0.4,,,4.6,−21.4
0020 F2,R 6 A2(1),"182,182,471.8",1.8,,,−20.8,−25.9
0020 F2,R 7 A2(1),"182,476,011.6",0.3,,,−18.3,−24.9
0020 F2,R 7 F1(2),"182,478,565.7",0.4,,,1.4,−28.0
0020 F2,R 8 F2(1),"182,764,627.1",0.7,,,−19.0,−28.6
0020 F2,R 8 F1(2),"182,766,174.9",0.5,,,−36.1,−30.7
0020 F2,R 9 F1(3),"183,059,851.4",0.6,,,−40.4,−33.8
0020 F2,R 9 F2(2),"183,060,792.5",0.6,,,12.3,−37.1
0020 F2,R 11 A2(1),"183,594,679.3",2.3,,,−2.7,−11.8
0020 F2,R 12 A1(1),"183,843,560.7",1.1,,,−8.1,−27.0
–,–,"183,861,432.8",0.9,,,−1.0,−34.6
Mean,,,,0.5,,−8.5,−19.7
Standard deviation,,,,0.8,,14.4,8.9
