Iso,Wavenumber,S,J,E _{ low },γ _{ self },γ _{ air },δ _{ self },δ _{ air },n,P _{l},J _{l},Γ _{l},N _{l},P _{ u },J _{ u },Γ _{ u },N _{ u }
61,5997.61823,3.218E−23,11,689.7054,.0691,.0534,−.0170,−.0109,.85,,,,,,,,
61,5997.65995,1.357E−23,11,689.7077,.0691,.0534,−.0170,−.0109,.85,,,,,,,,
61,5997.75088,7.516E−25,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
61,5997.82344,4.392E−24,12,814.8845,.0667,.0500,−.0170,−.0109,.85,0,12,F1,2,4,12,F2,381
61,5997.84781,1.839E−24,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
60,5997.96030,6.139E−24,0,.0000,.0803,.0631,−.0170,−.0109,.85,0,0,A1,1,4,1,A2,
61,5998.00618,1.948E−24,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
61,5998.06200,6.134E−25,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
61,5998.11466,1.613E−24,12,815.0082,.0667,.0500,−.0170,−.0109,.85,,,,,,,,
61,5998.21083,1.414E−22,10,575.2854,.0589,.0781,−.0160,−.0109,.85,0,10,F2,3,4,10,F1,319
61,5998.22801,9.440E−23,10,575.2719,.0414,.0254,−.0170,−.0109,.85,0,10,E,2,4,10,E,217
61,5998.24162,1.354E−22,10,575.2598,.0644,.0340,−.0170,−.0109,.85,0,10,F1,2,4,10,F2,326
61,5998.28040,2.216E−22,10,575.2229,.0680,.0491,−.0150,−.0109,.85,0,10,A1,1,4,10,A2,105
61,5998.31909,1.323E−22,10,575.1843,.0696,.0523,−.0170,−.0109,.85,0,10,F1,1,4,10,F2,325
61,5998.33449,1.247E−22,10,575.1701,.0662,.0375,−.0170,−.0109,.85,0,10,F2,2,4,10,F1,318
61,5998.35800,5.038E−24,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
61,5998.43943,1.904E−22,10,575.0557,.0628,.0465,−.0170,−.0109,.85,0,10,A2,1,4,10,A1,111
61,5998.44200,1.177E−22,10,575.0527,.0764,.0565,−.0170,−.0109,.85,0,10,F2,1,4,10,F1,317
61,5998.44463,7.500E−23,10,575.0513,.0712,.0565,−.0170,−.0109,.85,0,10,E,1,4,10,E,216
61,5998.57677,1.333E−24,7,293.1266,.0764,.0631,−.0170,−.0109,.85,0,7,F2,1,4,7,F1,231
61,5998.68250,1.038E−24,7,293.1230,.0764,.0631,−.0170,−.0109,.85,0,7,F1,1,4,7,F2,227
61,5998.75500,8.834E−25,,815.0000,.0770,.0600,−.0170,−.0109,.85,,,,,,,,
