ν _{0},Intensity (80 K),Rotational assignment,,Obs−Calc,( I_{o}–I_{c} ) / I_{o},Vibrational assignment,E lower
cm ^{ −1 },,Lower state,Upper state,10 ^{ −3 } cm ^{ −1 },%,Upper,cm ^{ −1 }
6757.0172,1.022×10-24,06A2 1,56A127,3.23,-8.6,1003 F2,219.9198
6757.0710,1.679×10-26,04E1,55E 35,5.86,,0104 E,104.7760
6757.3703,1.526×10-25,06F2 2,56F176,1.86,-10.9,1003 F2,219.9367
6757.3918,1.098×10-25,06F2 1,56F176,2.07,-5.2,1003 F2,219.9150
6757.4090,1.728×10-26,07E1,57E 59,3.26,-4.3,0104 F1,293.1701
6757.4405,2.059×10-26,07F2 2,57F190,-2.27,-4.5,0104 F1,293.1645
6757.4606,3.120×10-25,06E1,56E 52,-9.32,-6.8,1003 F2,219.9134
6757.4903,1.549×10-25,04F1 1,55F252,0.42,40.5,0104 E,104.7747
6757.8112,1.192×10-25,06F1 1,56F277,2.45,-17.4,1003 F2,219.9412
6758.0233,2.344×10-26,07A2 1,57A129,3.80,,0104 F1,293.1541
6758.1463,7.079×10-26,06F2 2,55F179,-3.93,-21.3,1003 F2,219.9367
