J,C,N,ω,μ,δ,γ,β,ζ
,,,cm$ − 1 $,Debye,cm$ − 1 $/MPa,cm$ − 1 $/MPa,cm$ − 1 $/MPa,1/MPa
1,F1,1,3018.824415(02),0.052837(07),−0.06479(028),0.62865(028),0.0644(041),−0.743(007)
2,F2,1,3018.650156(02),0.052817(07),−0.05845(031),0.65044(028),0.0580(035),0.010(012)
2,E,1,3018.591309(02),0.052884(10),−0.06165(054),0.63045(040),0.0748(045),−0.150(026)
3,A2,1,3018.528702(01),0.052947(05),−0.05243(023),0.63874(021),0.0705(026),−0.292(007)
3,F2,1,3018.358564(02),0.052610(06),−0.05483(026),0.66843(025),0.0445(033),−0.767(007)
3,F1,1,3018.242105(02),0.052872(07),−0.06236(041),0.68778(039),0.0229(037),−1.132(025)
4,F2,1,3018.205371(02),0.052940(07),−0.05363(036),0.65833(035),0.0630(034),1.271(023)
4,E,1,3017.885566(02),0.052614(08),−0.06148(041),0.61255(034),0.0668(038),−0.611(022)
5,F1,2,3017.825442(03),0.052977(14),−0.05427(072),0.64296(083),0.0503(054),0.000(000)
4,F1,1,3017.814848(03),0.052741(13),−0.05827(084),0.67099(094),0.0355(055),−0.065(033)
5,E,1,3017.763007(02),0.052824(10),−0.05409(057),0.58916(043),0.1074(040),0.656(036)
4,A1,1,3017.711676(01),0.052951(05),−0.05402(026),0.66709(024),0.0306(027),−0.165(010)
6,A1,1,3017.466976(01),0.053062(05),−0.05201(020),0.61733(020),0.0871(026),−0.102(005)
6,F1,1,3017.345835(02),0.052766(07),−0.05204(032),0.64437(029),0.0634(034),−1.918(011)
5,F2,1,3017.266663(02),0.052463(07),−0.05460(044),0.67139(037),0.0387(036),−0.364(025)
6,F2,2,3017.227964(02),0.052585(08),−0.05093(050),0.66180(041),0.0498(038),1.960(029)
5,F1,1,3017.163146(02),0.052831(06),−0.06362(030),0.65602(027),0.0478(032),0.617(011)
7,F1,2,3016.939581(02),0.053034(06),−0.05517(027),0.62311(025),0.0624(035),−0.470(007)
7,E,1,3016.733085(03),0.052557(09),−0.05510(033),0.49962(027),0.1372(036),−0.219(012)
7,F2,2,3016.640469(02),0.052319(08),−0.05239(045),0.64473(033),0.0359(039),0.298(019)
6,A2,1,3016.565333(01),0.052299(06),−0.05153(031),0.63729(026),0.0688(028),−0.605(013)
7,A2,1,3016.497595(03),0.052632(18),−0.05785(070),0.58392(096),0.0984(048),1.777(044)
6,F2,1,3016.489044(04),0.052390(24),−0.06431(125),0.63720(112),0.0882(067),0.000(000)
6,E,1,3016.458066(02),0.052557(10),−0.05569(071),0.60707(061),0.0837(049),−0.511(067)
8,F2,2,3016.369021(02),0.052896(09),−0.05253(043),0.61019(033),0.0889(043),−0.714(016)
8,E,2,3016.301678(03),0.052756(11),−0.05193(040),0.51361(034),0.1280(045),0.204(016)
8,F1,2,3015.989068(02),0.052109(06),−0.05009(022),0.62241(022),0.0709(031),0.516(006)
8,F2,1,3015.815801(02),0.052494(11),−0.05700(039),0.58279(053),0.1148(043),−1.024(012)
9,A2,1,3015.805187(02),0.053224(10),−0.05430(036),0.59930(044),0.1010(038),0.000(000)
9,F2,2,3015.706244(02),0.052976(09),−0.06463(072),0.59999(079),0.0556(050),−1.849(092)
7,F2,1,3015.682514(01),0.052292(06),−0.05115(062),0.60662(045),0.0468(031),0.139(059)
7,F1,1,3015.641671(01),0.052605(06),−0.06435(035),0.58926(026),0.0880(027),0.438(021)
9,F1,3,3015.590776(02),0.052473(08),−0.04634(036),0.61708(035),0.0713(041),2.623(020)
9,A1,1,3015.203144(02),0.051926(07),−0.04122(025),0.58678(024),0.0889(035),0.472(007)
10,F2,3,3015.091594(03),0.053083(13),−0.05841(070),0.58766(062),0.0927(075),−1.604(042)
9,F1,2,3015.050534(02),0.051873(10),−0.06113(069),0.58106(045),0.0892(054),0.676(039)
9,E,1,3015.001415(03),0.052228(13),−0.04817(067),0.51637(047),0.1329(062),−0.834(035)
10,E,2,3014.941236(04),0.052661(16),−0.04423(053),0.39979(041),0.1913(059),0.239(025)
10,F1,2,3014.838292(03),0.052141(13),−0.04663(063),0.59873(049),0.0506(071),0.862(025)
8,E,1,3014.746994(03),0.052390(15),−0.05015(079),0.56697(105),0.1461(087),0.000(000)
8,F1,1,3014.734816(02),0.052461(12),−0.06027(109),0.56005(095),0.0926(062),0.972(091)
8,A1,1,3014.711667(01),0.052615(08),−0.05995(048),0.53476(045),0.1283(034),−0.213(052)
10,A1,1,3014.641668(02),0.052850(09),−0.05476(037),0.54665(032),0.1162(403),0.612(016)
11,F1,3,3014.344163(05),0.052898(18),−0.06327(073),0.57354(060),0.1131(100),−1.432(025)
11,E,2,3014.276433(06),0.052538(24),−0.04982(077),0.42151(058),0.1470(089),−0.032(032)
10,F1,1,3014.171752(03),0.051541(13),−0.05693(055),0.57526(044),0.0825(068),−0.321(019)
10,F2,2,3014.095461(03),0.051938(13),−0.05710(076),0.53032(053),0.0937(065),0.691(047)
11,F2,3,3014.060516(05),0.052196(18),−0.04326(094),0.56960(099),0.0713(110),1.680(070)
11,F1,2,3013.806468(05),0.052796(18),−0.05986(071),0.53614(055),0.1058(089),0.008(028)
9,F2,1,3013.723760(03),0.052601(12),−0.05466(058),0.53257(063),0.1185(061),0.551(015)
9,F1,1,3013.711149(03),0.052536(12),−0.05329(045),0.50795(058),0.1344(058),0.000(000)
12,A1,2,3013.592617(05),0.053441(18),−0.05422(076),0.56373(057),0.0569(091),−1.364(026)
12,F1,3,3013.511567(07),0.053208(28),−0.06588(121),0.57249(088),0.0973(156),−3.851(041)
12,F2,3,3013.407825(07),0.052365(28),−0.04089(107),0.56997(090),0.0700(155),4.309(037)
12,A2,1,3013.167093(05),0.052337(23),−0.04420(124),0.53401(175),0.0816(131),1.408(107)
11,E,1,3013.155465(08),0.051542(32),−0.05322(205),0.50035(236),0.1764(195),0.000(000)
11,F2,2,3013.126955(05),0.051729(19),−0.05134(148),0.52360(104),0.1143(108),0.093(117)
11,A2,1,3013.078047(03),0.051956(12),−0.04940(044),0.45534(034),0.1818(051),0.071(024)
12,F2,2,3012.916014(07),0.052063(28),−0.06396(120),0.53946(089),0.1451(156),0.546(046)
12,E,2,3012.852783(10),0.052439(39),−0.06444(136),0.45151(103),0.1321(163),0.845(059)
