title,doi
"Reduced sextic rotational Hamiltonian for C3v molecules that are quasi-spherical tops (AsH3, PH3, OPF3)",10.1016/0022-2852(89)90204-x
Mechanisms of the “forbidden” submillimeter spectra formation in the (0001) state of arsine,10.1016/0022-2852(88)90227-5
Submillimeter-wave spectrum and spectroscopic constants of AsH3 in the (0100) and (0001) vibrational states and joint analysis of submillimeter and infrared data,10.1016/0022-2852(87)90283-9
"Microwave spectra of deuterated arsines: Distortion moment transitions of AsD3, microwave spectra of AsH2D and AsHD2, and the structure of arsine",10.1016/0022-2852(87)90282-7
Direct l-type doubling transitions in the v4 = 1 state of AsH3,10.1016/0022-2852(85)90169-9
A contribution to the laser spectroscopy of arsine,10.1016/0022-2852(84)90020-1
The ν2 and ν4 bands of AsH3,10.1016/0022-2852(84)90122-x
The electric dipole moment of AsH3 by saturation laser stark spectroscopy,10.1016/0009-2614(84)87081-5
Far infrared spectrum and spectroscopic constants of AsH3 in the ground state,10.1016/0022-2852(83)90043-7
Laser Stark Spectroscopy of AsH3 Using 9.4 and 10.6 μm CO2 Laser,10.1246/bcsj.56.937
Submillimeter spectrum and spectroscopic constants of the arsine molecule in the ground vibrational state,10.1016/0022-2852(82)90003-0
Radiofrequency spectroscopy of AsH3 inside a CO2N2O laser cavity,10.1016/0022-2852(81)90211-3
