title,doi
Methane spectroscopy in the near infrared and its implication on atmospheric retrievals,10.5194/acpd-8-10021-2008
Experimental low energy values of CH4 transitions near 1.33 μm by absorption spectroscopy at 81 K,10.1016/j.jqsrt.2009.02.004
Empirical low energy values for methane transitions in the 5852–6181cm−1 region by absorption spectroscopy at 81K,10.1016/j.jms.2008.09.005
High-resolution infrared polarization spectroscopy and degenerate four wave mixing spectroscopy of methane,10.1007/s00340-009-3363-9
Isotopic substitution shifts in methane and vibrational band assignment in the 5560–6200 cm−1 region,10.1016/j.jqsrt.2009.02.016
Measurements of N2- and O2-broadening and shifting parameters of methane spectral lines in the 5550–6236cm−1 region,10.1016/j.jqsrt.2009.02.012
O2- and air-broadening coefficients in the band of 12CH4 at room temperature,10.1016/j.jms.2009.02.007
Multispectrum analysis of 12CH4 in the ν4 band: I.,10.1016/j.jqsrt.2009.02.015
Detection of vibrational overtone excitation in methane by laser‐induced grating spectroscopy,10.1002/jrs.1928
High-temperature emission spectroscopy of methane,10.1016/j.jqsrt.2008.01.023
THz spectrum of monodeuterated methane,10.1016/j.jqsrt.2007.09.002
Calibration Free Measurement of Atmospheric Methane Background via Tunable Diode Laser Absorption Spectroscopy at 1.6 µm,10.1364/lacsea.2008.lma2
Nitrogen-pressure shifts in the ν3 band of methane measured at several temperatures between 300 and 90K,10.1016/j.jms.2008.09.001
N2-broadening coefficients in the ν4 band of 12CH4 at room temperature,10.1016/j.jms.2008.05.001
"N2-, O2- and air-broadened half-widths and line shifts for transitions in the ν3 band of methane in the 2726- to 3200-cm−1 spectral region",10.1016/j.jms.2008.03.012
Overtone spectroscopy and thermal lens detection limit of methane in cryo-solutions,10.1080/00268970802014630
Methane detection system based on Wavelength Modulation Spectroscopy and hollow-core fibres,10.1109/icsens.2008.4716677
Methane diode laser overtone spectroscopy at 840nm,10.1016/j.jqsrt.2006.02.056
Two-channel opto-acoustic diode laser spectrometer and fine structure of methane absorption spectra in 6070–6180cm−1 region,10.1016/j.saa.2006.10.046
CARS methane spectra: Experiments and simulations for temperature diagnostic purposes,10.1016/j.jms.2007.09.006
Line mixing effects in the ν2+ν3 band of methane,10.1016/j.jms.2007.08.005
Empirical line intensities of methane at,10.1016/j.jqsrt.2006.06.010
Measurement of the temperature dependence of line mixing and pressure broadening parameters between 296 and 90K in the ν3 band of 12CH4 and their influence on atmospheric methane retrievals,10.1016/j.jms.2007.05.005
High sensitivity CW-cavity ring down spectroscopy of CH4 in the 1.55μm transparency window,10.1016/j.cplett.2007.08.092
Self-broadening coefficients in the ν4 band of CH4 by diode-laser spectroscopy,10.1016/j.jms.2006.05.002
The vibrational levels of methane obtained from analyses of high-resolution spectra,10.1016/j.jqsrt.2005.06.003
Identification of hot band transitions of CH4 near 3000cm−1,10.1016/j.jms.2006.03.002
Infrared laser spectroscopy of CH3⋯HF in helium nanodroplets: The exit-channel complex of the F+CH4 reaction,10.1063/1.2168450
Stable isotopic analysis of atmospheric methane by infrared spectroscopy by use of diode laser difference-frequency generation,10.1364/ao.45.004136
"Model, software and database for line-mixing effects in the ν3 and ν4 bands of CH4 and tests using laboratory and planetary measurements—II: H2 (and He) broadening and the atmospheres of Jupiter and Saturn",10.1016/j.jqsrt.2005.11.033
"Model, software and database for line-mixing effects in the ν3 and ν4 bands of CH4 and tests using laboratory and planetary measurements—I: N2 (and air) broadenings and the earth atmosphere",10.1016/j.jqsrt.2005.11.020
Diode laser absorption spectroscopy measurement of linestrengths and pressure broadening coefficients of the methane 2ν3 band at elevated temperatures,10.1016/j.jms.2004.07.016
Diode-laser spectroscopy: Temperature dependence of R(0) line in the ν4 band of CH4 perturbed by N2 and O2,10.1016/j.jms.2005.06.004
Line profile study by diode laser spectroscopy in the 12CH4 ν2+ν4 band,10.1016/j.jms.2005.05.012
Empirical line parameters of methane from 1.1 to 2.1μm,10.1016/j.jqsrt.2004.12.037
The methane Raman spectrum from 1200 to 5500cm−1: A first step toward temperature diagnostic using methane as a probe molecule in combustion systems,10.1016/j.jms.2005.07.004
"Measuring methane and its isotopes ^12CH_4, ^13CH_4, and CH_3D on the surface of Mars with in situ laser spectroscopy",10.1364/ao.44.001226
Helium and argon line broadening in the ν2 band of CH4,10.1016/j.jms.2004.02.023
High precision measurements of atmospheric nitrous oxide and methane using thermoelectrically cooled mid-infrared quantum cascade lasers and detectors,10.1016/j.saa.2004.01.033
Multispectrum fits for line mixing in the ν3 band Q branch of methane,10.1016/s0022-2852(02)00011-5
Hot methane spectra for astrophysical applications,10.1016/s0022-4073(03)00158-4
"Line profile study from diode laser spectroscopy in the 12CH4 2ν3 band perturbed by N2, O2, Ar, and He",10.1016/s0022-2852(03)00178-4
Diagnostic studies of H<sub>2</sub>–Ar–N<sub>2</sub>microwave plasmas containing methane or methanol using tunable infrared diode laser absorption spectroscopy,10.1088/0963-0252/12/4/025
Methane line parameters in HITRAN,10.1016/s0022-4073(03)00155-9
Absorption spectra and absorption coefficients for methane in the 750– region obtained by intracavity laser spectroscopy,10.1016/s0022-4073(02)00015-8
"High-precision isotopic ratio measurement system for methane (12CH3D/12CH4,13CH4/12CH4) by using near-infrared diode laser absorption spectroscopy",10.1016/s1386-1425(02)00025-2
Line Intensity of R(0) and R(3) of the 12CH4 2ν3 Band from Diode Laser Spectroscopy,10.1006/jmsp.2002.8620
Experimental and theoretical studies of absorption in microwindows of the ν4-band of methane and methane–hydrogen,10.1016/s0022-4073(01)00146-7
A far wing lineshape for H2 broadened CH4 infrared transitions,10.1016/s0022-4073(01)00058-9
Pressure broadening study at low temperature: application to methane,10.1016/s1386-1425(02)00056-2
Line parameters and shapes of high clusters: R branch of the ν3 band of CH4 in He mixtures,10.1016/s0022-4073(01)00263-1
"How to determine the pressure of a methane‐containing gas mixture by means of two weak Raman bands, ν<sub>3</sub> and 2ν<sub>2</sub>",10.1002/jrs.813
"In-situ laser spectroscopy of CO, Ch4, and H2O in a particle laden laboratory-scale fluidized bed combustor",10.2298/tsci0202013l
Measurements of Methane Emissions from Landfills Using a Time Correlation Tracer Method Based on FTIR Absorption Spectroscopy,10.1021/es0011008
Balloon-borne near-infrared diode laser spectroscopy for in situ measurements of atmospheric CH4 and H2O,10.1016/s1386-1425(01)00415-2
Estimation of line parameters under line mixing effects: the ν3 band of CH4 in helium,10.1016/s0022-4073(00)00076-5
CH4/air/SO2 premixed flame spectroscopy with a 7.5-μm diode laser,10.1007/s003400100613
Influence of line mixing on absorption by CH4 in atmospheric balloon-borne spectra near 3.3 μm,10.1016/s0022-4073(00)00009-1
Analysis of the Interacting Octad System of 12CH4,10.1006/jmsp.2001.8364
Near-Infrared Spectroscopy of Brown Dwarfs: Methane and the Transition between the L and T Spectral Types,10.1086/324380
First Assignment and Line Strengths of the 4ν4 Band of 12CH4 near 1.9 μm,10.1006/jmsp.2001.8380
The Intensities of Methane in the 3–5 μm Region Revisited,10.1006/jmsp.2000.8065
The Continuum of Water Vapor Mixed with Methane: Absolute Absorption at 239 GHz and Linewidth Calculations,10.1006/jmsp.2000.8143
Speed-dependent broadening and line mixing in CH4 perturbed by Ar and N2 from multispectrum fits,10.1016/s0022-4073(99)00222-8
